"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
"
"NIFTY 500","23,720.70","23,848.45","23,672.35","23,741.10","23,835.25","-","94.15","0.40","2,30,79,46,947","69,497.51","24,035.00","19,519.85","0.67"
"M&MFIN","345.00","370.50","344.55","347.00","367.55","-","20.55","5.92","1,54,41,892","560.53","387.00","231.02","-83.69"
"RCF","135.75","144.80","134.93","135.49","141.70","-","6.21","4.58","70,41,304","99.93","188.89","110.80","-7.12"
"PATANJALI","527.45","555.15","522.65","528.75","548.00","-","19.25","3.64","54,71,238","296.18","670.33","521.00","-4.30"
"SBICARD","859.60","887.80","856.30","855.90","886.40","-","30.50","3.56","17,52,612","154.17","1,027.25","663.05","0.54"
"SUNDARMFIN","4,670.00","4,869.00","4,647.10","4,667.70","4,833.00","-","165.30","3.54","1,71,207","82.30","5,419.00","4,050.05","1.53"
"PTCIL","18,180.00","18,918.00","18,180.00","18,260.00","18,899.00","-","639.00","3.50","38,740","72.61","18,918.00","9,756.30","9.73"
"INDUSTOWER","400.90","416.85","399.10","402.00","416.00","-","14.00","3.48","96,54,037","398.83","430.00","312.55","5.90"
"CHOLAFIN","1,675.70","1,734.80","1,671.00","1,675.70","1,732.00","-","56.30","3.36","13,44,984","230.40","1,782.00","1,168.00","-0.89"
"LTF","299.10","311.15","298.00","300.45","310.25","-","9.80","3.26","81,54,419","249.89","315.35","129.20","10.57"
"SKFINDUS","2,630.00","2,720.00","2,498.50","2,708.40","2,715.00","-","85.00","3.23","31,893","8.22","2,720.00","2,498.50","-"
"SHRIRAMFIN","828.15","857.00","828.15","828.15","853.35","-","25.20","3.04","1,21,37,708","1,031.23","872.00","493.35","7.33"
"MARICO","716.00","737.80","713.05","714.65","736.00","-","21.35","2.99","26,51,174","193.12","765.30","577.85","2.70"
"DEEPAKNTR","1,543.00","1,580.70","1,543.00","1,533.80","1,574.90","-","41.10","2.68","4,62,994","72.41","2,748.80","1,514.00","-10.44"
"ABCAPITAL","349.40","360.60","346.05","349.40","358.25","-","8.85","2.53","44,38,367","158.03","360.60","149.01","8.24"
"SBIN","948.85","973.30","946.70","948.10","971.70","-","23.60","2.49","1,73,47,847","1,668.12","999.00","680.00","1.45"
"PNBHOUSING","882.90","905.90","878.00","882.25","903.80","-","21.55","2.44","8,96,426","80.34","1,141.90","746.70","-2.98"
"MUTHOOTFIN","3,702.00","3,807.00","3,702.00","3,702.00","3,791.80","-","89.80","2.43","3,28,682","123.89","3,833.00","1,922.60","19.19"
"RBLBANK","297.00","306.75","296.80","298.45","305.60","-","7.15","2.40","44,84,867","135.83","332.00","146.10","-5.57"
"POLICYBZR","1,854.40","1,899.40","1,854.30","1,854.30","1,895.00","-","40.70","2.19","12,58,109","237.13","2,246.90","1,311.35","3.88"
"LLOYDSME","1,198.70","1,223.90","1,186.70","1,195.80","1,222.00","-","26.20","2.19","1,81,602","21.93","1,612.00","942.15","-7.41"
"LINDEINDIA","5,787.00","6,034.00","5,775.00","5,800.00","5,926.00","-","126.00","2.17","1,16,174","68.86","7,870.00","5,242.40","-1.28"
"MCX","10,134.00","10,359.00","10,134.00","10,121.00","10,339.00","-","218.00","2.15","3,96,553","406.82","10,471.50","4,408.15","10.91"
"BAJAJFINSV","2,050.00","2,110.00","2,045.80","2,049.20","2,092.90","-","43.70","2.13","17,42,156","363.66","2,195.00","1,551.65","1.12"
"SUZLON","51.13","52.15","50.75","50.85","51.89","-","1.04","2.05","6,11,41,969","313.41","74.30","46.15","-13.75"
