"Date ","Symbol ","Security Name ","Quantity "
"07-MAR-2025","ADANIGREEN","ADANI GREEN ENERGY LTD","99"
"07-MAR-2025","ADANIPOWER","ADANI POWER LTD","99"
"07-MAR-2025","ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","132"
"07-MAR-2025","BAJAJHFL","BAJAJ HOUSING FINANCE LTD","1"
"07-MAR-2025","BBOX","BLACK BOX LIMITED","50"
"07-MAR-2025","BLUEJET","BLUE JET HEALTHCARE LTD","40"
"07-MAR-2025","DATAPATTNS","DATA PATTERNS INDIA LTD","75"
"07-MAR-2025","EICHERMOT","EICHER MOTORS LIMITED","2"
"07-MAR-2025","GODFRYPHLP","GODFREY PHILLIPS INDIA LT","7"
"07-MAR-2025","HCC","HINDUSTAN CONSTRUCTION CO","5,498"
"07-MAR-2025","HEROMOTOCO","HERO MOTOCORP LTD","5"
"07-MAR-2025","HINDALCO","HINDALCO  INDUSTRIES  LTD","10"
"07-MAR-2025","HNGSNGBEES","HNGSNGBEES","15"
"07-MAR-2025","IEX","INDIAN ENERGY EXCHANGE LIMITED","163"
"07-MAR-2025","INNOVACAP","INNOVA CAPTAB LIMITED","26,300"
"07-MAR-2025","IOC","INDIAN OIL CORP LTD","35"
"07-MAR-2025","IRFC","IRFC","1,76,250"
"07-MAR-2025","JIOFIN","JIO FIN SERVICES LTD","250"
"07-MAR-2025","JYOTISTRUC","JYOTI STRUCTURES LTD","2"
"07-MAR-2025","KPITTECH","KPIT TECHNOLOGIES LTD","9,200"
"07-MAR-2025","MRPL","MRPL","500"
"07-MAR-2025","NETWEB","NETWEB TECH INDIA LTD","10"
"07-MAR-2025","NTPC","NTPC LTD","10"
"07-MAR-2025","ONGC","OIL AND NATURAL GAS CORP.","44"
"07-MAR-2025","PAGEIND","PAGE INDUSTRIES LTD","225"
"07-MAR-2025","PFC","POWER FIN CORP LTD.","50"
"07-MAR-2025","RELIANCE","RELIANCE INDUSTRIES LTD","16"
"07-MAR-2025","RITES","RITES LIMITED","350"
"07-MAR-2025","SUNPHARMA","SUN PHARMACEUTICALS IND.","10"
"07-MAR-2025","TATAMOTORS","TATA MOTORS LIMITED","10"
"07-MAR-2025","TATATECH","TATA TECHNOLOGIES LIMITED","50"
"07-MAR-2025","TCS","TATA CONSULTANCY SERV LT","2"
"07-MAR-2025","VEDL","VEDANTA LIMITED","25"
"07-MAR-2025","WIPRO","WIPRO LTD","3,33,023"
"10-MAR-2025","ALKEM","ALKEM LABORATORIES LTD.","99"
"10-MAR-2025","ANGELONE","ANGEL ONE LTD","2,200"
"10-MAR-2025","APLAPOLLO","APL APOLLO TUBES LTD","70"
"10-MAR-2025","ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","2"
"10-MAR-2025","BAJAJFINSV","BAJAJ FINSERV LIMITED","33"
"10-MAR-2025","BALKRISIND","BALKRISHNA IND. LTD      ","49"
"10-MAR-2025","BHARTIARTL","BHARTI AIRTEL LIMITED","10"
"10-MAR-2025","CAMS","COMPUTER AGE MGMT SER LTD","29,125"
"10-MAR-2025","CHALET","CHALET HOTELS LIMITED","20"
"10-MAR-2025","COALINDIA","COALINDIA","659"
"10-MAR-2025","COFORGE","COFORGE LIMITED","1"
"10-MAR-2025","COLPAL","COLGATE PALMOLIVE LTD.","192"
"10-MAR-2025","DEEPAKNTR","DEEPAK NITRITE LIMITED","258"
"10-MAR-2025","EICHERMOT","EICHER MOTORS LIMITED","38"
"10-MAR-2025","ESCORTS","ESCORTS INDIA LTD","27"
"10-MAR-2025","FINPIPE","FINOLEX INDUSTRIES LTD","1,500"
"10-MAR-2025","GRANULES","GRANULES INDIA LIMITED   ","935"
"10-MAR-2025","HCC","HINDUSTAN CONSTRUCTION CO","100"
"10-MAR-2025","HINDALCO","HINDALCO  INDUSTRIES  LTD","10"
"10-MAR-2025","HINDUNILVR","HINDUSTAN UNILEVER LTD.","32"
"10-MAR-2025","IDFCFIRSTB","IDFC FIRST BANK LIMI","5"
"10-MAR-2025","IGL","INDRAPRASTHA GAS LTD","1,089"
"10-MAR-2025","IRFC","IRFC","1,02,225"
"10-MAR-2025","JSL","JSL Limited","9"
"10-MAR-2025","KOTAKBANK","KOTAK MAHINDRA BANK LTD","196"
"10-MAR-2025","LTF","L&T FINANCE LIMITED","1,594"
"10-MAR-2025","M&M","MAHINDRA & MAHINDRA LTD","167"
"10-MAR-2025","MHRIL","MHRIL","32"
"10-MAR-2025","MRF","MRF LTD","3"
"10-MAR-2025","NCC","NCC LIMITED","201"
"10-MAR-2025","PAGEIND","PAGE INDUSTRIES LTD","660"
"10-MAR-2025","PHOENIXLTD","THE PHOENIX MILLS LIMITED","160"
"10-MAR-2025","RELIANCE","RELIANCE INDUSTRIES LTD","10"
"10-MAR-2025","SANOFI","SANOFI INDIA LIMITED","10"
"10-MAR-2025","SHREECEM","SHREE CEMENTS LTD","18"
"10-MAR-2025","SIEMENS","SIEMENS LTD","19"
"10-MAR-2025","SUNPHARMA","SUN PHARMACEUTICALS IND.","25"
"10-MAR-2025","SUZLON","SUZLON ENERGY LIMITED","101"
"10-MAR-2025","TATAMOTORS","TATA MOTORS LIMITED","53"
"10-MAR-2025","TORNTPHARM","TORRENT PHARMACEUTICALS L","78"
"10-MAR-2025","VEDL","VEDANTA LIMITED","25"
"10-MAR-2025","ZYDUSLIFE","ZYDUS LIFESCIENCES","157"
"11-MAR-2025","ADANIGREEN","ADANI GREEN ENERGY LTD","14"
"11-MAR-2025","AMBER","AMBER ENTERPRISES (I) LTD","20"
"11-MAR-2025","BHARTIARTL","BHARTI AIRTEL LIMITED","28"
"11-MAR-2025","BHEL","BHEL","499"
"11-MAR-2025","CAMS","COMPUTER AGE MGMT SER LTD","125"
"11-MAR-2025","CDSL","CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED","10"
"11-MAR-2025","CENTURYPLY","CENTURY PLYBOARDS (I) LTD","1"
"11-MAR-2025","CHOLAFIN","CHOLAMANDALAM IN & FIN CO","36,250"
"11-MAR-2025","COALINDIA","COALINDIA","100"
"11-MAR-2025","COFORGE","COFORGE LIMITED","3"
"11-MAR-2025","DLF","DLF LIMITED","100"
"11-MAR-2025","EICHERMOT","EICHER MOTORS LIMITED","5"
"11-MAR-2025","GODREJIND","GODREJ INDUSTRIES LTD","105"
"11-MAR-2025","GRAPHITE","GRAPHITE INDIA LIMITED","161"
"11-MAR-2025","ICICIBANK","ICICI BANK LTD.","7"
"11-MAR-2025","INDHOTEL","THE INDIAN HOTELS CO. LTD","10"
"11-MAR-2025","IRCON","IRCON","200"
"11-MAR-2025","JIOFIN","JIO FIN SERVICES LTD","250"
"11-MAR-2025","KALYANKJIL","KALYAN JEWELLERS IND LTD","5"
"11-MAR-2025","KIRLOSENG","KIRLOSENG","8"
"11-MAR-2025","LLOYDSME","LLOYDS METALS N ENERGY L","2,000"
"11-MAR-2025","MSUMI","MOTHERSON SUMI WRNG IND L","3,500"
